Id,AgeGrp,Gender,DGI,IGI,GD,Game_titles,Action_adventure,MOBA,Other,Shooters,Card_games,Strategy,RPG,Sport_games,Simulation,Puzzle,MMORPG,Driving,Battle_royale,Survival_horror,Platform,Fighting,GMI_Advancement,GMI_Amotivation,GMI_Autonomy,GMI_Boredom,GMI_Competence,GMI_Competition,GMI_Completion,GMI_Coping,GMI_Escape,GMI_Exploration_Mechanics,GMI_Fantasy,GMI_Financial,GMI_Gameskills,GMI_Identity,GMI_Introjected_regulation,GMI_Recreation,GMI_Skill_development,GMI_Social,GMI_Status,GMI_Arousal_action,GMI_Cooperation,GMI_Customization,GMI_Destruction,GMI_Graphics,GMI_Story,GMI_Strategy,GMI_MasteryHO,GMI_ImmersionHO,GMI_CompetitionHO,GMI_StimulationHO,GMI_SocialHO,GMI_HabitBoredomHO
45413685,4,1,9,5,6,"Tile Fun - 1h, Zoo2 Animal Park1h",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,4,3,6,3,3,4,8,24,4,4,3,6,5,3,9,9,4,3,4,3,3,3,7,6,5,5.00,7.14,3.00,4.67,4.00,5.00
44673222,2,1,9,30,4,Tom2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15,6,11,6,7,11,17,12,15,6,12,10,6,13,11,11,7,14,8,15,8,15,10,13,11.88,12.14,6.14,12.33,10.67,5.00
44607210,4,2,16,0,4,top eleven  20h,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,13,8,17,3,3,3,16,22,4,18,3,4,5,7,17,4,4,3,9,3,3,3,17,12,3,4.00,11.29,1.71,9.67,3.33,15.00
45391954,3,2,46,113,14,Top od wars,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,20,10,15,16,16,13,15,20,21,19,16,17,24,17,16,20,22,12,20,16,15,16,16,16,14,15.75,17.29,11.71,17.33,17.33,17.50
44582201,4,1,18,35,4,trainstation,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,9,20,8,6,7,9,9,20,22,6,3,10,10,5,15,22,15,3,12,21,12,3,15,18,21,15.75,10.86,5.00,10.00,19.00,8.50
44727724,4,1,21,0,4,Triple trile,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7,4,21,3,6,4,13,22,4,6,3,4,7,3,15,9,4,3,10,3,4,3,9,7,17,6.13,8.29,3.00,7.33,8.00,14.00
44570434,3,2,22,32,7,"War Planet Online 4h, The Witcher 3 Wild Hunt 10h",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,21,2,28,21,10,13,18,21,25,28,28,3,25,20,3,21,28,4,8,28,3,3,21,21,21,21,21.50,19.29,9.43,23.33,9.33,11.50
44563385,1,2,18,25,7,"War Thunder - 5h, League of Legends - 3h, CarX Drift - 2h",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,4,25,6,14,15,10,16,13,15,16,3,17,13,8,17,18,10,9,21,10,19,18,14,12,19,16.63,15.00,9.86,17.67,13.00,5.00
44581766,1,2,9,9,4,Word od tanks  - 5 godzin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,9,17,12,13,16,14,12,16,16,17,13,12,20,13,14,16,18,12,16,12,12,14,13,14,13,13.88,15.43,9.71,14.33,14.33,10.50
44690316,4,2,7,0,5,"World od tanks , numer match",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,12,6,7,15,4,15,17,6,4,5,9,8,6,19,18,7,3,15,16,8,3,19,8,15,9.38,9.86,7.14,12.33,12.67,4.50
44644305,4,2,9,35,4,World's od wonders-4h,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,6,6,4,9,3,8,4,4,4,3,4,5,3,11,8,5,3,14,3,9,4,3,3,3,5.25,4.86,4.00,7.00,3.67,4.00
